reviewId,content,score,at
62bd418b-27f9-4bdb-8b86-52d42e55a982,Sangat membantu sekali,5,2023-11-21 10:53:03
b799bf7a-6eb5-4dc3-8a72-8af417edd1f8,Aplikasinya bagus fitur fiturnya gampang dipake dan oke banget. Bayar listrik beli pulsa juga bisa pake gopay ngga ribet,5,2023-11-21 10:50:41
5f25e5ae-b677-4478-bd95-a25f3fef4d7c,"Adanya gopay jadi gampang transaksi apa pun mau bayar listrik, jajan pun gampang filtur nya sangat berguna semua",5,2023-11-21 10:49:32
4c6e3e4e-a64b-4a11-b9f6-dd8fd3ea57e6,transaksi lebih mudah dengan aplikasi gopay,5,2023-11-21 10:45:21
656dbeac-2246-462a-891b-075682f9fbfb,gak black Ada Vila paling3×,5,2023-11-21 10:44:56
b5e159c1-2494-4a8b-aa44-a73eeeaacb47,"Bagus banget aplikasinya, nggatau dari dulu berguna banget kalo mau apa apa tinggal pake gopay. Sekarang apa apa pake qris. Jadi ngebantu banget",5,2023-11-21 10:44:32
92799bc1-77fb-449c-84c9-16887e15cba2,Sangat membantu.... Biyaya tf juga sangat murah... Mantap,5,2023-11-21 10:42:43
91ef23e6-7226-4ebb-a1fe-42de77cc6b98,Aplikasi sangat bangus,5,2023-11-21 10:41:44
b985d048-45b4-4522-966c-d0ab9c06eb9f,"Aplikasii yang sangat berguna bangett , kalo mau beli pulsa, paket data, bayar listrik selalu disini jadi ga perlu keluar rumahhh, fiturnyaa jugaa oke okee mantepp deh👍 buruan download.",5,2023-11-21 10:41:19
fd1cddf8-fb67-4285-b815-b638d4bff765,Mempermudah dalam transaksi,5,2023-11-21 10:35:54
5ae0c261-f3e4-464b-9c31-a6cb6523169d,apk yang bagus dan sangat mempermudah dalam transaksi,5,2023-11-21 10:26:07
7000aaea-f425-4e09-b015-9c5bf16ce816,Aplikasi nya udah membantu tapi upgrade gopay plus nya harus pakai KTP padahal saya masih pelajar,4,2023-11-21 10:22:38
e9945f26-c28a-4fef-b3aa-4e3bfdd77725,Apk maling baru download trs top up tiba2 saldo hilang..apk bego.gw sumpahin bangkrut lo,1,2023-11-21 10:16:21
03608c1d-da8c-46fe-9435-2b2e455912e4,Saldo belum masuk udah laporan malah di persulit ada aja yang di bilang kurang lengkap padahal ya udah di isi sesuai dengan format,1,2023-11-21 10:14:09
ffafd3ac-29b0-4cc1-b3ce-cadfe1c2cc40,Aplikasi ini sangat bagus dan berguna untuk bayar top up dan tagihan apalagi tranfer bank,5,2023-11-21 10:14:08
7a40cc63-9678-49b1-808d-768478c3333b,Ok,5,2023-11-21 10:11:43
14709cad-b216-460d-840c-6d88d779ad6f,Kalau gak niat ngasih pinjaman kok di tawarin iklannya? Gua isi di tolak 👎,1,2023-11-21 10:10:25
ade58920-3e9c-4d35-a834-84c65a5d1647,"Sangat membantu untuk segala transaksi,pa lgi murah dan bnyk promonya..😇🙏",5,2023-11-21 10:10:20
09d3ee92-7153-4480-8526-66b2bc5bdeb2,Mantab.membantu sekali aplikasinya,5,2023-11-21 10:09:17
e4faf69c-e43f-41b0-a296-875e37c1fa2e,Ok,5,2023-11-21 10:08:34
0f273e06-7f7c-4dd1-9a03-871bcd31c218,Mantap,5,2023-11-21 10:03:50
a8c21237-640d-4523-bd11-d68d6731bd7f,Apk yg sangat membantu. Jarang gangguan juga.,5,2023-11-21 10:03:39
820d41d4-f1ad-4097-8370-6afaf9aab0b1,Bagus lah untuk saat ini,5,2023-11-21 10:01:39
d21be3b3-f1cc-483e-b15f-de6226f1b9a8,Very nice,4,2023-11-21 10:01:35
195c527b-69b8-4f01-aeda-edb47e91316f,"Transfer bank harus d tingkatkan lagi, karna masuk nya tidak realtime 👎👎👎👎",1,2023-11-21 10:00:27
087d8e6b-174d-43dc-b203-5aa1e6f5b4d4,Oke,5,2023-11-21 09:54:51
4ba69a8a-c829-494c-90cf-1515cfafe736,Sangat bagus,5,2023-11-21 09:51:24
96473d05-3bf3-42a5-8e1e-8939d4bcdbd5,Trima kasih go pay.... proses daftarnya gampang banget.,5,2023-11-21 09:20:29
ffc19c7d-1d48-4080-8e7b-a2d1df3bf18c,Ok,4,2023-11-21 09:17:33
6bcc5c88-0f42-49d5-a1cd-3852fc96b852,**qs,1,2023-11-21 09:05:10
fe6ebc57-1291-4088-88a1-13fd601d7df4,Mantap,5,2023-11-21 08:58:22
46f2ab08-3a6d-4175-9a4a-5d00790964c3,mantab,5,2023-11-21 08:54:11
9df52452-96ac-4c61-a21e-4fb4e8980652,Menggiurkan dan menjanjikan,4,2023-11-21 08:52:16
5876006b-6d9a-497f-a866-a1da64f15f3b,Tiap main slot pakai rek gopay .gak pernah menang slotnya..,1,2023-11-21 08:49:02
61dbf783-3c28-4e85-92cc-da61abcc8a9b,Mantap gk perlu ribet2 Tf trimakasih untuk Pelayanan ny sangt baik,5,2023-11-21 08:47:20
10374ac7-d5d8-4380-8365-18f1fe19d939,Mantap,5,2023-11-21 08:45:23
abbb6c27-59e1-4e6b-bfbd-e29c60d5b16f,Saya ko susah mohon permudah,5,2023-11-21 08:44:25
5914026c-ae5d-48f4-8c2b-c359833f1662,gopay yang terbaik,5,2023-11-21 08:42:43
fec9a15c-f106-4d23-86c6-993a0d302efc,Susah banget transfer dari gopay ke bank udah 100 kali masih juga ngak bisa,1,2023-11-21 08:24:09
33c69557-7bbc-459b-a868-a152dd832fd2,BB Bu,4,2023-11-21 08:23:15
e8cc8e4a-2dcd-4a46-a484-63d194818df3,Susah loding topup ke game,3,2023-11-21 08:22:14
d3cf9c19-e8e5-4c69-931f-30aaff6c73ff,Goodff,5,2023-11-21 08:19:31
401fcb89-abbf-4014-a89a-b273ca554797,Olahraga,5,2023-11-21 08:18:09
39bdb1a5-25a1-490d-b915-035de4adcbd5,Momogi enak buat anak ayam,5,2023-11-21 08:07:46
3e454363-c875-42c4-8c0f-fe3867bac263,"Aplikasi udah saya hapus , awal ada limit bisa di gunakan gopay laternya tapi sekarang ngak bisa di gunakan lagi gopay laternya ,, Sangat mengecewakan di kasih limit tapi ngak bisa di gunakan aplikasi ngak rekomended",1,2023-11-21 07:58:47
9116f719-ad96-47ac-a41f-208770ea782d,Bagus banget sih,4,2023-11-21 07:52:47
7a6ab744-9861-4245-87e3-6c6530b32138,Bagus,5,2023-11-21 07:52:06
c913b911-9dfb-48f3-928f-9fca19622118,Gopaylater dah berjalan tau2 kendala... Gak bkl gw bayar sisa tagihan... Gk bs bedakan pelanggan lama dengan pelanggan baru.,1,2023-11-21 07:50:26
f7c55aad-1f62-413b-9faa-b11a6ef5ef50,Baik,5,2023-11-21 07:43:24
13b8f597-2ff8-480a-8983-7f792b47c38a,"Kenapa tidak ada E-Wallet, Dana",3,2023-11-21 07:40:57
1261b0a7-03d8-431f-ad28-77ddfcf64fe7,Aku pengen d coba dulu siapa tahu cocok buat saya oke saya setuju,4,2023-11-21 07:37:21
c59aec18-56f5-4601-b30f-ce544b4d36b5,Keren 👍,4,2023-11-21 07:18:51
540514cd-cad0-427a-80b5-2b4a9e44b426,"Aplikasi sudah bagus. Simpel. Cuma tolong dong bisa TF ke dana juga. Di keterangan ny bisa ke dana, ovo, shopeepay, tapi real di aplikasi nya untuk dana belum ada. Semoga segera tersedia juga ya",5,2023-11-21 07:17:50
48e37928-cbcb-453c-8377-8b361720b2c9,Mantap apl gopay,5,2023-11-21 07:16:03
ee378fa1-9798-41ad-a733-2485b60b77b5,Ada promo potongan pulsa tp ga bisa beli pake koin. Beli dari app lain seperti mytsel atau myim3 jg ga bisa pake koin,1,2023-11-21 07:03:10
3f706751-041e-4ccb-8d6e-8fb6ec47a475,👍,5,2023-11-21 06:51:03
5328451b-059f-4f7f-aa33-8e7cb5425e5f,Itu dulu klau bagus nnti di tambahin,4,2023-11-21 06:37:20
70fb5be3-2c6e-406a-9754-098f0b8dbb8e,Good,5,2023-11-21 06:30:02
0fe3a3da-4f52-42c9-a31a-4bf97c6b6e83,Simpel dan mudah tak perlu keluar rumah untuk transaksi apapun goPay yees,5,2023-11-21 06:22:00
cb97bfc5-6987-43bf-bcdf-e854c1ec2f57,"Bagus bangett apk ini, transaksi lebih mudah setiap saat",5,2023-11-21 06:20:34
483d4a27-56d3-4335-9fac-2528e58518f4,Gopay mantap,5,2023-11-21 06:15:48
4d6d09be-eef8-446d-948e-45a05eac9c57,Mantap,5,2023-11-21 06:06:16
67580d1d-ee01-4f2a-8bad-a9e1d6ce7357,Bagus sekali aplikasinyà,5,2023-11-21 05:21:18
d6cc5945-a154-46b2-8d18-ad4657b7d1e8,Gopay mempermudah importasi,5,2023-11-21 04:59:06
9a8ee6f5-bae6-4fea-bc46-9e0b1b4eb56f,Joz sangat cocok bagus,5,2023-11-21 04:42:59
b2c2fa49-1d19-43c6-add3-2d1a624cb67b,Nice good,5,2023-11-21 04:36:31
c6883873-788b-413c-acb1-445477cc080e,mantap,5,2023-11-21 04:33:07
b18208d9-a96b-42a8-a89d-4c95045be2c8,bintang berbicara,5,2023-11-21 04:28:02
fe92dad6-ff00-4a16-9a3a-df27551307f5,Luarbiasa tapi blm ada yg bisa di lakukan,5,2023-11-21 03:50:52
e8426c4c-d4f3-4ee1-a46c-6a180f769e31,Saya pengen meminjam,5,2023-11-21 02:48:20
